Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
26,0,2,23,2,1,2,3,0,3,1,1,1,5,0,1,1,17741,1
42,1,1,6,2,1,2,4,1,3,0,1,1,3,0,1,2,21062,0
56,0,1,9,2,2,4,4,3,4,1,5,0,1,0,2,3,29654,0
27,0,3,36,3,2,4,6,1,5,3,2,0,3,1,2,2,23647,1
37,1,1,9,2,1,4,4,0,3,0,6,0,5,1,1,1,21221,0
31,1,2,28,2,2,2,5,0,3,1,2,0,1,0,1,1,24852,1
49,0,3,8,3,2,3,4,1,4,1,3,0,3,1,2,2,20390,0
43,0,1,16,2,1,2,3,0,3,2,1,0,5,0,0,1,17455,0
40,1,3,9,2,2,3,2,3,3,3,2,0,1,0,1,3,26558,0
58,1,1,31,2,2,3,3,3,3,1,5,1,4,1,2,3,28117,0
56,1,1,27,1,2,3,4,1,3,0,5,1,2,1,2,2,24093,0
56,0,3,12,2,1,2,2,4,5,0,1,0,3,1,0,0,28212,0
52,1,3,34,2,2,3,4,1,3,2,3,1,5,1,2,2,32704,1
36,1,1,7,1,1,3,5,3,5,1,3,1,1,1,0,3,25252,0
24,0,1,15,2,2,2,4,0,4,1,2,0,5,1,0,1,17694,0
30,1,3,14,2,2,3,3,3,3,1,6,0,3,1,0,3,22264,0
25,1,1,15,2,2,2,3,0,5,2,4,0,1,1,0,1,17096,1
37,1,1,11,2,2,3,5,1,3,3,3,0,5,1,2,2,24488,0
20,1,1,16,3,2,2,3,0,3,2,2,1,5,1,1,1,16009,1
44,1,3,11,3,1,3,5,3,3,2,5,0,3,1,1,3,28909,0
29,1,3,12,3,2,4,4,1,3,3,3,0,3,0,2,2,23586,0
36,1,1,14,2,2,3,4,3,3,2,5,0,3,0,2,3,28899,0
